,PC>0,Certainty
hadoop_Montreal,90.18157894736842,80.36315789473684
python_Montreal,61.839473684210525,23.67894736842105
r_Montreal,8.542105263157895,-82.91578947368421
sas_others_Montreal,49.747368421052634,-0.5052631578947313
spark_Montreal,87.80526315789474,75.61052631578949
sql_Montreal,51.80789473684211,3.6157894736842167
tableau_Montreal,10.042105263157895,-79.91578947368421
hadoop_Ottawa,26.905263157894737,-46.189473684210526
python_Ottawa,62.05,24.099999999999994
r_Ottawa,73.21842105263158,46.43684210526317
sas_others_Ottawa,35.705263157894734,-28.58947368421053
spark_Ottawa,51.67894736842105,3.3578947368420984
sql_Ottawa,49.92631578947368,-0.14736842105263293
tableau_Ottawa,22.86578947368421,-54.26842105263158
hadoop_Toronto,22.771052631578947,-54.45789473684211
python_Toronto,61.055263157894736,22.11052631578947
r_Toronto,61.14473684210526,22.28947368421052
sas_others_Toronto,78.07894736842105,56.15789473684211
spark_Toronto,13.01578947368421,-73.96842105263158
sql_Toronto,63.43421052631579,26.868421052631575
tableau_Toronto,75.60526315789474,51.21052631578948
hadoop_Vancouver,50.376315789473686,0.7526315789473728
python_Vancouver,61.81842105263158,23.636842105263156
r_Vancouver,67.71052631578948,35.42105263157896
sas_others_Vancouver,20.660526315789475,-58.67894736842105
spark_Vancouver,48.089473684210525,-3.821052631578951
sql_Vancouver,47.49473684210526,-5.010526315789477
tableau_Vancouver,73.45263157894736,46.90526315789472
